DIRECTORIO,Aporte_policia,Aporte_fuerzas_armadas,Aporte_alcaldia,Aporte_justicia_fiscalia,Aporte_justicia_jueces,Aported_convivencia_ICBF,Aporte_convivencia_InspeccionesPolicia,Aporte_convivencia_CentroConciliacion,Nivel_satisfaccion_policia,Nivel_confianza_policia,Solicitó_servicios_policia
600112,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,1,0
600113,Mucho,Poco,Poco,Mucho,Mucho,Poco,Poco,Poco,3,3,0
600113,Mucho,Poco,Poco,Mucho,Poco,Poco,Poco,Poco,3,3,0
600113,Mucho,Poco,Poco,Mucho,Poco,Poco,Poco,Poco,3,3,0
600113,Mucho,Poco,Poco,Mucho,Poco,Poco,Poco,Poco,3,3,0
600113,Mucho,Poco,Poco,Mucho,Poco,Poco,Poco,Poco,3,3,0
600114,Mucho,Mucho,Nada,Poco,Nada,Nada,Poco,Nada,3,4,0
600114,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600114,Poco,Poco,Poco,Poco,Nada,Nada,Nada,Poco,3,3,0
600115,Poco,Mucho,Poco,Poco,Poco,Mucho,Poco,Poco,3,1,0
600115,Poco,Mucho,Nada,Nada,Poco,Mucho,Poco,Poco,4,3,1
600116,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,2,2,0
600116,Poco,Mucho,Poco,Nada,Poco,Nada,Poco,Poco,3,3,0
600117,Poco,Nada,Mucho,Nada,Nada,Nada,Nada,Mucho,2,2,0
600117,Poco,Poco,Nada,Nada,Nada,Nada,Nada,Nada,4,3,0
600118,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600118,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,3,0
600119,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,4,0
600120,Poco,Nada,Nada,Nada,Nada,Poco,Poco,Poco,4,3,0
600120,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,3,4,0
600121,Mucho,Nada,Nada,Nada,Nada,Nada,Nada,Nada,5,5,0
600122,Poco,Poco,Poco,Poco,Nada,Poco,Poco,Poco,3,3,0
600122,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600122,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,3,0
600122,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,4,0
600123,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,2,0
600123,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600124,Mucho,Poco,Poco,Poco,Poco,Mucho,Poco,Mucho,4,4,0
600124,Poco,Mucho,Mucho,Mucho,Poco,Mucho,Mucho,Mucho,4,4,0
600125,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,5,0
600125,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,Mucho,Mucho,4,4,0
600125,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,Poco,Poco,5,5,0
600126,Mucho,Mucho,Poco,Mucho,Mucho,Poco,Mucho,Mucho,3,4,0
600127,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,2,0
600127,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600128,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,1,2,0
600128,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,2,0
600129,Poco,Nada,Nada,Nada,Nada,Poco,Poco,Mucho,3,3,0
600130,Poco,Poco,Nada,Poco,Poco,Nada,Nada,Nada,3,4,0
600131,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,5,5,0
600131,Mucho,Mucho,Mucho,Mucho,Mucho,Nada,Poco,Poco,4,4,0
600132,Poco,Poco,Mucho,Poco,Poco,Nada,Poco,Poco,3,1,0
600132,Mucho,Mucho,Poco,Nada,Nada,Nada,Poco,Nada,5,5,0
600133,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,2,0
600134,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,Poco,3,4,0
600134,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,3,0
600135,Mucho,Poco,Poco,Nada,Nada,Poco,Mucho,Poco,3,3,0
600135,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600135,Mucho,Mucho,Mucho,Mucho,Nada,Poco,Poco,Poco,4,4,0
600136,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,5,5,0
