DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,Ciudad,Clase,Estrato
600379,235,1,1,1,58.314137364,Villavicencio,Cabecera,1.0
600380,235,1,1,1,47.987677713,Villavicencio,Cabecera,1.0
600381,235,1,1,1,73.941033051,Villavicencio,Cabecera,1.0
600382,235,1,1,1,150.41559905,Villavicencio,Cabecera,1.0
600383,235,1,1,1,89.930716503,Villavicencio,Cabecera,2.0
600384,235,1,1,1,65.275926213,Villavicencio,Cabecera,3.0
600385,235,1,1,1,116.59290383,Villavicencio,Cabecera,3.0
600386,235,1,1,1,68.052268585,Villavicencio,Cabecera,3.0
600387,235,1,1,1,130.47230572,Villavicencio,Cabecera,3.0
600388,235,1,1,1,117.47059123,Villavicencio,Cabecera,3.0
600389,235,1,1,1,63.016571594,Villavicencio,Cabecera,3.0
600390,235,1,1,1,118.12015129,Villavicencio,Cabecera,2.0
600391,235,1,1,1,138.5118013,Villavicencio,Cabecera,2.0
600392,235,1,1,1,95.063599733,Villavicencio,Cabecera,2.0
600393,235,1,1,1,64.138641735,Villavicencio,Cabecera,4.0
600394,235,1,1,1,71.905008009,Villavicencio,Cabecera,4.0
600395,235,1,1,1,83.684043949,Villavicencio,Cabecera,1.0
600396,235,1,1,1,43.458049676,Villavicencio,Cabecera,6.0
600397,235,1,1,1,55.790586286,Villavicencio,Cabecera,6.0
600398,235,1,1,1,76.364012575,Villavicencio,Cabecera,3.0
600399,235,1,1,1,90.147354986,Villavicencio,Cabecera,3.0
600400,235,1,1,1,85.546109605,Villavicencio,Cabecera,3.0
600401,235,1,1,1,76.840132895,Villavicencio,Cabecera,1.0
600402,235,1,1,1,85.284425895,Villavicencio,Cabecera,3.0
600403,235,1,1,1,50.607439796,Villavicencio,Cabecera,6.0
600404,235,1,1,1,59.593604477,Villavicencio,Cabecera,3.0
600405,235,1,1,1,45.230110785,Villavicencio,Cabecera,6.0
600406,235,1,1,1,52.571200696,Villavicencio,Cabecera,6.0
600407,235,1,1,1,77.526966369,Villavicencio,Cabecera,5.0
600408,235,1,1,1,54.398722218,Villavicencio,Cabecera,3.0
600409,235,1,1,1,63.162498033,Villavicencio,Cabecera,3.0
600410,235,1,1,1,90.457537335,Villavicencio,Cabecera,1.0
600411,235,1,1,1,119.42449101,Villavicencio,Cabecera,1.0
600412,235,1,1,1,57.765190628,Villavicencio,Cabecera,3.0
600413,235,1,1,1,97.015436681,Villavicencio,Cabecera,3.0
600414,235,1,1,1,55.835228133,Villavicencio,Cabecera,3.0
600415,235,1,1,1,106.2263848,Villavicencio,Cabecera,3.0
600417,235,1,1,1,61.783301381,Villavicencio,Cabecera,3.0
600418,235,1,1,1,115.42650108,Villavicencio,Cabecera,1.0
600419,235,1,1,1,57.341357417,Villavicencio,Cabecera,3.0
600420,235,1,1,1,51.932899234,Villavicencio,Cabecera,3.0
600421,235,1,1,1,97.459942247,Villavicencio,Cabecera,3.0
600422,235,1,1,1,64.125833934,Villavicencio,Cabecera,2.0
600423,235,1,1,1,60.172073571,Villavicencio,Cabecera,2.0
600424,235,1,1,1,58.998980931,Villavicencio,Cabecera,3.0
600425,235,1,1,1,57.095213177,Villavicencio,Cabecera,2.0
600426,235,1,1,1,50.909341716,Villavicencio,Cabecera,3.0
